S.No.,Location,Pincode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
80,Dr. Ambedkar Veedhi,560001,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
81,Electronics City,560100,12.8468545,77.6769267,0.0,Bus Stop,Café,Hyderabadi Restaurant,Coworking Space,Vegetarian / Vegan Restaurant,Diner,Basketball Court,English Restaurant,Dumpling Restaurant,Eastern European Restaurant
87,Girinagar,560085,12.9401439,77.5444995,1.0,Breakfast Spot,Hotel,Indian Restaurant,Vegetarian / Vegan Restaurant,Café,Park,Coffee Shop,Fast Food Restaurant,Field,Dive Bar
88,Goraguntepalya,560022,13.0284078,77.5408961,0.0,Fast Food Restaurant,Multiplex,Department Store,Seafood Restaurant,Miscellaneous Shop,Food Court,Spa,Bar,Restaurant,Mediterranean Restaurant
89,Goripalya,560026,12.9629437,77.5494998,0.0,Pizza Place,Dessert Shop,Fast Food Restaurant,Movie Theater,Café,Coworking Space,Creperie,Field,Construction & Landscaping,Farmers Market
92,Gunjur,560087,13.4279345,77.5131493,0.0,Trail,Lake,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
93,H M T,560013,13.0194939,77.7660515,0.0,Department Store,Shopping Plaza,Fast Food Restaurant,Ice Cream Shop,Indian Restaurant,Asian Restaurant,Restaurant,Electronics Store,Dry Cleaner,Dumpling Restaurant
100,Hebbal Kempapura,560024,13.0521017,77.6018107,0.0,Department Store,Café,Pharmacy,Food Court,Bus Station,Indian Restaurant,Building,Pizza Place,Fast Food Restaurant,Event Space
103,Hongasandra,560068,12.8975365,77.62807526594204,1.0,Indian Restaurant,Pizza Place,Hotel Bar,Hotel Pool,Clothing Store,Bus Station,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
104,Hoodi,560048,12.9919033,77.7162015,1.0,Indian Restaurant,Hotel,Coffee Shop,Diner,Cocktail Bar,Soccer Field,Platform,Brewery,Japanese Restaurant,English Restaurant
105,Horamavu,560043,13.0273312,77.6601508,0.0,Badminton Court,Athletics & Sports,Andhra Restaurant,Gym,Kerala Restaurant,Department Store,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
106,Hosakerehalli,560085,12.9301881,77.5378332,1.0,Pizza Place,Indian Restaurant,Toll Booth,Fast Food Restaurant,Park,Juice Bar,Ice Cream Shop,Yoga Studio,Donut Shop,Dry Cleaner
107,Hosur Road,560030,12.93164,77.6138743,1.0,Indian Restaurant,Café,Dessert Shop,Chinese Restaurant,Bookstore,Ice Cream Shop,Coffee Shop,Lounge,Brewery,Bar
108,HSR Layout,560102,12.9116225,77.6388622,1.0,Indian Restaurant,Café,Snack Place,Pizza Place,Ice Cream Shop,Department Store,Vegetarian / Vegan Restaurant,Liquor Store,Chinese Restaurant,Bistro
109,Hulimangala,562106,12.8188956,77.6384041,0.0,Pizza Place,Flower Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant,Electronics Store
110,Hulimavu,560076,12.8773486,77.6028031,0.0,Café,Bakery,Fast Food Restaurant,Movie Theater,Multiplex,Indian Restaurant,Ice Cream Shop,South Indian Restaurant,Clothing Store,Electronics Store
112,Hunasamaranahalli,562157,13.1440103,77.6191241,3.0,Indian Restaurant,Coffee Shop,South Indian Restaurant,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
115,Indiranagar,560038,12.9732913,77.6404672,1.0,Indian Restaurant,Pub,Ice Cream Shop,Café,Lounge,Bar,Tea Room,Restaurant,Chinese Restaurant,Cocktail Bar
117,Industrial Estate,560010,12.9908787,77.70512615869652,1.0,Indian Restaurant,Gym,Sporting Goods Shop,Bakery,Breakfast Spot,Auto Workshop,Office,Grocery Store,Café,Performing Arts Venue
120,J P Nagar,560078,12.9096941,77.5866067,1.0,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Coffee Shop,Snack Place,Café,Ice Cream Shop,Women's Store,Sandwich Place,Brewery
121,J.C.Nagar,560006,15.3500091,75.1375385,1.0,Shopping Mall,Indian Restaurant,Food Court,Bus Station,Café,Juice Bar,Jewelry Store,Snack Place,Dance Studio,Deli / Bodega
122,Jakkur,560064,13.0784743,77.6068938,1.0,Clothing Store,Indian Restaurant,Animal Shelter,Café,Yoga Studio,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
123,Jalahalli,560013,13.0464531,77.5483803,1.0,Indian Restaurant,Hotel,Hotel Bar,Shopping Mall,Soccer Field,Spa,Restaurant,Italian Restaurant,Intersection,Indie Movie Theater
124,Jalahalli East,560014,13.0464531,77.5483803,1.0,Indian Restaurant,Hotel,Hotel Bar,Shopping Mall,Soccer Field,Spa,Restaurant,Italian Restaurant,Intersection,Indie Movie Theater
125,Jalahalli Village,560013,13.0464531,77.5483803,1.0,Indian Restaurant,Hotel,Hotel Bar,Shopping Mall,Soccer Field,Spa,Restaurant,Italian Restaurant,Intersection,Indie Movie Theater
128,Jayanagar,560041,12.9292731,77.5824229,1.0,Indian Restaurant,Café,Chinese Restaurant,Ice Cream Shop,Coffee Shop,Lounge,Fast Food Restaurant,Juice Bar,Pizza Place,Hotel
129,Jayanagar West,560070,12.9292731,77.5824229,1.0,Indian Restaurant,Café,Chinese Restaurant,Ice Cream Shop,Coffee Shop,Lounge,Fast Food Restaurant,Juice Bar,Pizza Place,Hotel
132,Jeevanahalli,560005,12.9954832,77.6208684,1.0,Indian Restaurant,Café,Middle Eastern Restaurant,Chinese Restaurant,Coffee Shop,Pizza Place,Pub,BBQ Joint,Bakery,Ice Cream Shop
134,Jigani,560105,12.7852528,77.6380931,1.0,ATM,Indian Restaurant,Health Food Store,Pharmacy,History Museum,Financial or Legal Service,Fast Food Restaurant,Farmers Market,Event Space,Event Service
134,Jigani,560105,12.7852528,77.6380931,1.0,ATM,Indian Restaurant,Health Food Store,Pharmacy,History Museum,Financial or Legal Service,Fast Food Restaurant,Farmers Market,Event Space,Event Service
136,Jp Nagar Iii Phase,560078,12.9072515,77.5782713,1.0,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Diner,Breakfast Spot,Metro Station,Mexican Restaurant,Snack Place,Sandwich Place
137,JP Nagar VIII phase,560706,12.9072515,77.5782713,1.0,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Diner,Breakfast Spot,Metro Station,Mexican Restaurant,Snack Place,Sandwich Place
139,K. G. Road,560009,12.9239878,77.5204576,0.0,Pizza Place,Café,Coffee Shop,Nightclub,Sandwich Place,Food Court,Soccer Field,Lake,Beer Garden,Multiplex
140,K.P.West,560020,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
142,Kadabagere,562130,12.9889098,77.4492453,3.0,Indian Restaurant,Yoga Studio,Dive Bar,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
143,Kadugodi,560067,12.9985767,77.7609716,0.0,Hotel,Train Station,Pizza Place,Bus Station,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,English Restaurant,Event Service
147,Kamakshipalya,560079,12.9823617,77.5226376,0.0,ATM,Breakfast Spot,Fast Food Restaurant,Bus Station,Campground,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
148,Kannamangala,560067,13.2151923,77.6667197,1.0,Karnataka Restaurant,South Indian Restaurant,Indian Restaurant,Multicuisine Indian Restaurant,Dive Bar,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
149,Kannur,562149,13.103799,77.6016167,0.0,Fast Food Restaurant,Food Truck,Vegetarian / Vegan Restaurant,Farmers Market,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Event Space,Event Service
151,Kathriguppe,560085,12.9277134,77.5514022,1.0,Café,Indian Restaurant,Breakfast Spot,Pizza Place,Tea Room,Fast Food Restaurant,South Indian Restaurant,Electronics Store,Motorcycle Shop,Movie Theater
153,Kendriya Sadan,560034,12.925464000000002,77.62088465345457,1.0,Indian Restaurant,Café,Coffee Shop,Fast Food Restaurant,Kerala Restaurant,Ice Cream Shop,Pub,Gym,Italian Restaurant,Indie Movie Theater
154,Kendriya Vihar,560064,13.1067289,77.59970299116564,0.0,Fast Food Restaurant,Food Truck,Vegetarian / Vegan Restaurant,Train Station,Yoga Studio,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
156,Konanakunte,560062,12.8792861,77.5697529,1.0,Indian Restaurant,ATM,Bus Station,Department Store,Vegetarian / Vegan Restaurant,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
158,Koramangala I Block,560034,12.928080600000001,77.63071968728623,1.0,Indian Restaurant,Café,Italian Restaurant,Pub,Bakery,Ice Cream Shop,Coffee Shop,Pizza Place,Breakfast Spot,Bar
160,Kothanur,560077,13.0613601,77.6493895,0.0,Badminton Court,Sandwich Place,Bakery,Stadium,Café,Restaurant,Sporting Goods Shop,Pub,North Indian Restaurant,Pizza Place
161,Krishnarajapuram,560036,13.0005089,77.6753945,0.0,ATM,Bus Station,Fast Food Restaurant,Mattress Store,Indian Restaurant,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
162,Krishnarajapuram R S,560016,13.0005089,77.6753945,0.0,ATM,Bus Station,Fast Food Restaurant,Mattress Store,Indian Restaurant,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
164,Kumaraswamy Layout,560078,12.9081487,77.5553179,0.0,Fast Food Restaurant,Department Store,Indian Restaurant,Bakery,Sandwich Place,Breakfast Spot,Sports Bar,Chinese Restaurant,Burger Joint,Ice Cream Shop
166,Kundalahalli,560037,12.9684441,77.7187843,1.0,Indian Restaurant,Fast Food Restaurant,Hotel,Soccer Field,Asian Restaurant,Breakfast Spot,Food,Market,Food Court,Salon / Barbershop
167,Lalbagh West,560004,12.9465265,77.580016,1.0,Indian Restaurant,Café,Bakery,Fast Food Restaurant,Park,Restaurant,Snack Place,Ice Cream Shop,Salon / Barbershop,Tea Room
169,Lingarajapuram,560084,13.0117678,77.6278288,1.0,Kerala Restaurant,Indian Restaurant,Hotel,Paper / Office Supplies Store,Fast Food Restaurant,Andhra Restaurant,Bakery,Burger Joint,Café,Steakhouse
171,Madhavan Park,560011,12.936264999999999,77.58570855784478,1.0,Indian Restaurant,Café,Chinese Restaurant,Coffee Shop,Hotel,Juice Bar,Fast Food Restaurant,Salon / Barbershop,Lounge,Electronics Store
172,Madivala,560068,12.92069395,77.61442100198076,1.0,Indian Restaurant,Café,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Chinese Restaurant,Pizza Place,Indie Movie Theater,Coffee Shop,Park
173,Magadi Road,560023,12.9890242,77.4718714,1.0,Auto Workshop,Gas Station,Resort,Circus,Indian Restaurant,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
174,Mahadevapura,560048,12.9934976,77.6924156,0.0,Clothing Store,Coffee Shop,French Restaurant,Fast Food Restaurant,Donut Shop,Café,Bus Station,Shopping Mall,Bowling Alley,Lounge
175,Mahalakshmipuram Layout,560086,13.0029165,77.5464264,1.0,Indian Restaurant,Café,Chinese Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Fast Food Restaurant,Grocery Store,Clothing Store,Snack Place,Food Truck
176,Mahatma Gandhi Road,560001,12.9730154,77.6166123,1.0,Hotel,Café,Indian Restaurant,Clothing Store,Chinese Restaurant,Coffee Shop,Ice Cream Shop,Pub,Shopping Mall,Sandwich Place
178,Mallathahalli,560056,12.9623214,77.5057232,1.0,Breakfast Spot,Andhra Restaurant,Gym,Bakery,Indian Restaurant,South Indian Restaurant,Café,Market,Field,Financial or Legal Service
179,Malleswaram,560003,13.0027353,77.5703253,1.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Coffee Shop,Breakfast Spot,Dessert Shop,Chinese Restaurant,Café,Department Store,South Indian Restaurant
180,Malleswaram West,560055,13.0027353,77.5703253,1.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Coffee Shop,Breakfast Spot,Dessert Shop,Chinese Restaurant,Café,Department Store,South Indian Restaurant
182,Marathahalli Colony,560037,12.9559165,77.6882298,1.0,Tea Room,Coffee Shop,Airport Terminal,History Museum,Fast Food Restaurant,Clothing Store,Indian Restaurant,Mexican Restaurant,Fried Chicken Joint,Electronics Store
184,Maruthi Sevanagar,560033,13.0026552,77.6347376,0.0,Fast Food Restaurant,Café,Train Station,Multiplex,Lounge,Clothing Store,Shopping Mall,Farmers Market,Event Space,Event Service
185,Mathikere,560054,13.0328884,77.557374,1.0,Indian Restaurant,Café,Diner,Park,Fast Food Restaurant,American Restaurant,Ice Cream Shop,Sandwich Place,Electronics Store,Dry Cleaner
186,Mavalli,560004,12.9528478,77.5819643,1.0,Indian Restaurant,Park,Café,Snack Place,Movie Theater,Bakery,Food Truck,Dessert Shop,Food Court,Restaurant
189,Medimallasandra,560067,12.9523031,77.830108,0.0,Scenic Lookout,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
190,Mico Layout,560076,12.9151131,77.6006286,1.0,Indian Restaurant,Café,Snack Place,Coffee Shop,Fast Food Restaurant,Shopping Mall,Asian Restaurant,Chinese Restaurant,Multiplex,Bakery
191,Milk Colony,560055,12.9309732,77.5901342,1.0,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Jewelry Store,Lounge,Juice Bar,Coffee Shop,Pizza Place,Bakery
192,Mount St Joseph,560076,12.8684124,77.59082130918499,0.0,Café,Italian Restaurant,Multiplex,Cosmetics Shop,Bowling Alley,Fast Food Restaurant,Electronics Store,Beer Garden,Rajasthani Restaurant,Shopping Mall
193,Msrit,560054,13.030955299999999,77.56485593968172,1.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Clothing Store,Burger Joint,Bus Station,Bistro,Breakfast Spot
195,Museum Road,560025,12.9697622,77.6053042,1.0,Indian Restaurant,Café,Pub,Brewery,Hotel,Chinese Restaurant,Lounge,Ice Cream Shop,Breakfast Spot,Clothing Store
199,Nagarbhavi,560072,12.9546741,77.5121724,1.0,Indian Restaurant,Café,Bakery,Breakfast Spot,Construction & Landscaping,Restaurant,Andhra Restaurant,Market,South Indian Restaurant,Gym
200,Nagasandra,560073,13.0479497,77.5001349,0.0,Bakery,Athletics & Sports,Gas Station,Light Rail Station,Yoga Studio,English Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Dry Cleaner
201,Nagavara,560045,13.0374647,77.623602,0.0,Pizza Place,Steakhouse,Multiplex,Café,Shopping Mall,Vegetarian / Vegan Restaurant,Andhra Restaurant,Punjabi Restaurant,Bar,Donut Shop
202,NAL,560017,12.963787700000001,77.65180275216737,1.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Hotel,Coffee Shop,Bar,Juice Bar,Middle Eastern Restaurant,Chinese Restaurant
206,Narayan Pillai Street,560001,12.9821931,77.6083132,1.0,Indian Restaurant,Café,Lounge,Pub,Bar,Clothing Store,Chinese Restaurant,Hotel,Pizza Place,Jewelry Store
207,Nayandahalli,560039,12.9413253,77.5212118,0.0,Coffee Shop,Fried Chicken Joint,Auto Garage,Bus Station,Road,Clothing Store,Miscellaneous Shop,Farmers Market,Event Space,Event Service
210,New Thippasandra,560075,12.9736956,77.6536931,1.0,Indian Restaurant,Chinese Restaurant,Café,Burger Joint,Bakery,Pub,Sandwich Place,Tea Room,Steakhouse,Bar
211,Okalipuram,560021,12.98204705,77.5642294415321,1.0,Indian Restaurant,Platform,Hotel,BBQ Joint,Bus Station,Motorcycle Shop,Train Station,Metro Station,Clothing Store,Pizza Place
214,Palace Guttahalli,560003,12.9991087,77.579517,1.0,Indian Restaurant,Café,Vegetarian / Vegan Restaurant,Hotel,Department Store,Ice Cream Shop,Lounge,Food & Drink Shop,Chaat Place,Plaza
215,Panathur,560087,12.9351457,77.7047541,0.0,Ice Cream Shop,Construction & Landscaping,Train Station,Recreation Center,Athletics & Sports,Department Store,Gym,Café,Food Court,Pizza Place
220,R T Nagar,560032,13.0251833,77.5920609,1.0,Indian Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Café,Tennis Court,Snack Place,Bistro,Bus Station,Resort
222,Rajajinagar,560010,12.9882338,77.554883,1.0,Indian Restaurant,Café,Bakery,Breakfast Spot,Fast Food Restaurant,BBQ Joint,Asian Restaurant,Park,Hotel,Pizza Place
223,Rajajinagar I Block,560010,13.0005247,77.5496568,1.0,Café,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Indian Restaurant,Chinese Restaurant,Light Rail Station,Electronics Store,Beer Bar,Bakery,Restaurant
225,Rajanakunte,560064,13.1691901,77.5639442,0.0,Fast Food Restaurant,Spa,Train Station,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Farmers Market,Event Space,Event Service
229,Ramagondanahalli,560066,12.9558969,77.7405826,0.0,Pizza Place,Multiplex,Shopping Mall,Restaurant,Food Court,Hotel,Café,Indian Restaurant,Bookstore,Rajasthani Restaurant
